[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:49,089 INFO [http-nio-53000-exec-6][AbstractInstanceRegistry.java:266] - Registered instance ACCOUNT-SERVICE/account-service:172.35.1.49:53030 with status UP (replication=false)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:49,611 INFO [http-nio-53000-exec-7][AbstractInstanceRegistry.java:266] - Registered instance ACCOUNT-SERVICE/account-service:172.35.1.49:53030 with status UP (replication=true)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:54,594 INFO [http-nio-53000-exec-10][AbstractInstanceRegistry.java:266] - Registered instance UAA-SERVICE/uaa-service:172.35.1.49:53020 with status UP (replication=false)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:55,124 INFO [http-nio-53000-exec-8][AbstractInstanceRegistry.java:266] - Registered instance UAA-SERVICE/uaa-service:172.35.1.49:53020 with status UP (replication=true)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:56,033 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 7ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:43:06,034 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 1ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:43:16,049 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 14ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:43:26,053 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 4ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:43:36,063 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 9ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:43:46,076 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 12ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:43:56,078 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 2ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:44:06,086 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 7ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:44:16,101 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 14ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:44:26,105 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 4ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:44:36,109 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 3ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:44:46,120 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 10ms
